"□ 본 서비스에서 제공하는 정보는 법적인 효력이 없으므로 참고용으로만 활용하시기 바랍니다."
"□ 신고정보가 실시간 변경, 해제되어 제공시점에 따라 공개건수 및 내용이 상이할 수 있는 점 참고하시기 바랍니다."
"□ 본 자료는 계약일 기준입니다. (※ 7월 계약, 8월 신고건 → 7월 거래건으로  제공)"
"□ 통계자료 활용시에는 수치가 왜곡될 수 있으니 참고자료로만 활용하시기  바라며,  외부 공개시에는 반드시 신고일 기준으로 집계되는 공식통계를 이용하여 주시기 바랍니다."
""
"* 국토교통부 실거래가 공개시스템의 궁금하신 점이나 문의사항은 주택거래신고 1588-0149/주택임대차신고 1533-2949로 연락 주시기 바랍니다."
"□ 검색조건"
"계약일자 : 20211201 ~ 20211231"
"실거래구분 : 아파트(매매)"
"주소구분 : 지번주소"
"시도 : 전체"
"시군구 : 전체"
"읍면동 : 전체"
"면적 : 전체"
"금액선택 : 전체"
"시군구","번지","본번","부번","단지명","전용면적(㎡)","계약년월","계약일","거래금액(만원)","층","건축년도","도로명","해제사유발생일","거래유형","중개사소재지"
"강원도 강릉시 견소동","202","0202","0000","송정한신","84.93","202112","7","27,300","3","1997","경강로2539번길 8","","중개거래","강원 강릉시"
"강원도 강릉시 견소동","202","0202","0000","송정한신","84.93","202112","7","27,300","3","1997","경강로2539번길 8","20220113","중개거래","강원 강릉시"
"강원도 강릉시 견소동","202","0202","0000","송정한신","39.08","202112","11","13,000","4","1997","경강로2539번길 8","","중개거래","강원 강릉시"
"강원도 강릉시 견소동","202","0202","0000","송정한신","59.8","202112","13","18,000","2","1997","경강로2539번길 8","","중개거래","강원 강릉시"
"강원도 강릉시 견소동","202","0202","0000","송정한신","39.08","202112","14","12,900","9","1997","경강로2539번길 8","","중개거래","강원 강릉시"
"강원도 강릉시 견소동","289","0289","0000","송정해변신도브래뉴아파트","59.99","202112","1","20,000","1","2005","경강로2539번길 22","","중개거래","강원 강릉시"
"강원도 강릉시 견소동","289","0289","0000","송정해변신도브래뉴아파트","59.99","202112","2","24,900","4","2005","경강로2539번길 23","","중개거래","강원 강릉시"
"강원도 강릉시 견소동","289","0289","0000","송정해변신도브래뉴아파트","59.99","202112","14","25,700","6","2005","경강로2539번길 22","","중개거래","강원 강릉시"
"강원도 강릉시 견소동","289","0289","0000","송정해변신도브래뉴아파트","84.99","202112","18","34,500","5","2005","경강로2539번길 22","","중개거래","강원 강릉시"
"강원도 강릉시 교동","1983","1983","0000","강릉교동롯데캐슬2단지","135.1008","202112","11","61,700","12","2009","화부산로111번길 24","","중개거래","강원 강릉시"
"강원도 강릉시 교동","1984","1984","0000","강릉교동풍림아이원아파트","84.9964","202112","24","39,500","14","2017","화부산로40번길 29","","중개거래","강원 강릉시"
"강원도 강릉시 교동","797-1","0797","0001","강원","59.49","202112","7","10,400","5","1985","화부산로131번길 6","","직거래","-"
"강원도 강릉시 교동","1750","1750","0000","교동1주공","84.84","202112","9","30,500","11","1999","가작로 78","","직거래","-"
"강원도 강릉시 교동","1750","1750","0000","교동1주공","84.84","202112","11","36,000","15","1999","가작로 78","","중개거래","강원 강릉시"
"강원도 강릉시 교동","1750","1750","0000","교동1주공","59.89","202112","21","26,000","14","1999","가작로 78","","중개거래","강원 강릉시"
"강원도 강릉시 교동","1767","1767","0000","교동2현대","99.88","202112","15","43,000","1","1999","교동광장로 138-15","","중개거래","강원 강릉시"
"강원도 강릉시 교동","1766","1766","0000","교동3주공","59.74","202112","1","28,100","10","2002","교동광장로 138-12","","중개거래","강원 강릉시"
"강원도 강릉시 교동","1766","1766","0000","교동3주공","59.74","202112","23","29,600","10","2002","교동광장로 138-12","","중개거래","강원 강릉시"
"강원도 강릉시 교동","1766","1766","0000","교동3주공","59.86","202112","24","27,800","9","2002","교동광장로 138-12","","중개거래","강원 강릉시"
"강원도 강릉시 교동","1766","1766","0000","교동3주공","59.74","202112","24","28,000","11","2002","교동광장로 138-12","","중개거래","강원 강릉시"
"강원도 강릉시 교동","18-16","0018","0016","교동대림","59.84","202112","10","20,000","16","1997","수리골길17번길 21","","중개거래","강원 강릉시"
"강원도 강릉시 교동","18-16","0018","0016","교동대림","59.84","202112","14","16,000","7","1997","수리골길17번길 21","","중개거래","강원 강릉시"
"강원도 강릉시 교동","357","0357","0000","교동이-편한세상","84.7155","202112","10","40,200","4","2006","종합운동장길 92","","중개거래","강원 강릉시"
"강원도 강릉시 교동","332-2","0332","0002","대인맨션","84.72","202112","30","18,500","5","1991","화부산로141번길 45","","중개거래","강원 강릉시"
"강원도 강릉시 교동","318-4","0318","0004","매화임대","48.6","202112","28","10,000","2","1987","율곡로2968번길 26","","중개거래","강원 강릉시"
"강원도 강릉시 교동","1775","1775","0000","부영6","84.9763","202112","3","39,000","10","2003","정원로 53-9","","중개거래","강원 강릉시"
"강원도 강릉시 교동","1775","1775","0000","부영6","59.987","202112","21","27,800","10","2003","정원로 53-9","","중개거래","강원 강릉시"
"강원도 강릉시 교동","348-6","0348","0006","서일2","27.75","202112","20","6,000","2","1987","수리골길17번길 35","","중개거래","강원 강릉시"
"강원도 강릉시 교동","828-19","0828","0019","현대","84.945","202112","8","19,250","4","1992","옛강일길 41","","중개거래","강원 강릉시"
"강원도 강릉시 교동","1759","1759","0000","현대하이빌","152.94","202112","5","55,800","15","1999","원대로128번길 14","","중개거래","강원 강릉시"
"강원도 강릉시 내곡동","616","0616","0000","강부2","24.795","202112","28","4,400","3","1988","관대길 63","","중개거래","강원 강릉시"
"강원도 강릉시 내곡동","127","0127","0000","남산삼익","84.48","202112","18","18,300","3","1993","남부로125번길 37","","중개거래","강원 강릉시"
"강원도 강릉시 내곡동","75-4","0075","0004","내곡시영","46.68","202112","21","5,300","2","1990","남산초교길 22","","직거래","-"
"강원도 강릉시 내곡동","623","0623","0000","내곡주공","39.69","202112","6","8,900","4","1989","관대길16번길 6","","중개거래","강원 강릉시"
"강원도 강릉시 내곡동","476","0476","0000","내곡한라","84.95","202112","17","22,000","10","1997","강변로 114","","중개거래","강원 강릉시"
"강원도 강릉시 내곡동","476","0476","0000","내곡한라","59.97","202112","21","16,700","2","1997","강변로 114","","중개거래","강원 강릉시"
"강원도 강릉시 노암동","618-1","0618","0001","고합","32.04","202112","1","5,600","2","1996","남부로125번길 23","","중개거래","강원 강릉시"
"강원도 강릉시 노암동","618-1","0618","0001","고합","32.04","202112","22","6,350","9","1996","남부로125번길 23","","중개거래","강원 강릉시"
"강원도 강릉시 노암동","835","0835","0000","노암2주공","59.3","202112","2","12,000","4","1984","노가니남길 25","","중개거래","강원 강릉시"
"강원도 강릉시 노암동","605","0605","0000","노암3한라","39.762","202112","23","7,800","14","2000","남부로125번길 7","","직거래","-"
"강원도 강릉시 노암동","610","0610","0000","노암남산현대","59.84","202112","13","15,000","9","1998","남부로125번길 11","","중개거래","강원 강릉시"
"강원도 강릉시 노암동","390","0390","0000","노암한라","59.976","202112","3","14,500","11","1994","노암길42번길 28","","중개거래","강원 강릉시"
"강원도 강릉시 노암동","627-2","0627","0002","대림임대","48.32","202112","9","5,700","5","1989","임영로25번길 13","","중개거래","강원 강릉시"
"강원도 강릉시 노암동","627-2","0627","0002","대림임대","48.32","202112","24","5,000","2","1989","임영로25번길 13","","직거래","-"
"강원도 강릉시 노암동","661","0661","0000","범아","77.58","202112","3","7,700","2","1980","임영로25번길 3-6","","직거래","-"
"강원도 강릉시 노암동","679-1","0679","0001","영진3","59.67","202112","1","8,100","3","1996","임영로26번길 10","","중개거래","강원 강릉시"
"강원도 강릉시 노암동","679-1","0679","0001","영진3","59.67","202112","7","7,600","1","1996","임영로26번길 10","","직거래","-"
"강원도 강릉시 노암동","385","0385","0000","한라2","55.483","202112","4","9,700","5","1995","남부로191번길 21","","중개거래","강원 강릉시"
